Name RNA Mapping_rate Group
Brandywine SRR2064662 0.9969 BIG
Brandywine SRR2064663 0.9971 BIG
Brandywine SRR2064665 0.9901 BIG
Brandywine SRR2064668 0.9917 BIG
Brandywine SRR2064671 0.9942 BIG
Brandywine SRR2356898 0.9331 BIG
Brandywine SRR2356905 0.9587 BIG
Brandywine SRR2356907 0.9579 BIG
Brandywine SRR2356916 0.9474 BIG
Brandywine SRR2356941 0.9228 BIG
Brandywine SRR2356969 0.9503 BIG
Brandywine SRR2939611 0.9699 BIG
Brandywine SRR2939613 0.9745 BIG
Brandywine SRR2939615 0.9724 BIG
Brandywine SRR3031978 0.9187 BIG
Brandywine SRR3119178 0.9853 BIG
Brandywine SRR3119184 0.9864 BIG
Brandywine SRR3119185 0.9936 BIG
Brandywine SRR3119186 0.9938 BIG
Brandywine SRR3119187 0.9943 BIG
Brandywine SRR3119188 0.9937 BIG
Brandywine SRR3119189 0.9931 BIG
Brandywine SRR3119190 0.989 BIG
Brandywine SRR786507 0.9845 BIG
Brandywine SRR786508 0.9847 BIG
Brandywine SRR786509 0.9849 BIG
Brandywine SRR786514 0.9808 BIG
Brandywine SRR786515 0.9731 BIG
Brandywine SRR786516 0.976 BIG
Brandywine SRR786517 0.9744 BIG
Brandywine SRR786520 0.9427 BIG
Brandywine SRR786521 0.9432 BIG
Brandywine SRR786522 0.956 BIG
Brandywine SRR786523 0.9561 BIG
Brandywine SRR786525 0.977 BIG
Brandywine SRR786526 0.9658 BIG
Brandywine SRR786527 0.9728 BIG
Brandywine SRR786528 0.9866 BIG
Brandywine SRR786529 0.9644 BIG
Brandywine SRR786530 0.9671 BIG
Brandywine SRR786531 0.9516 BIG
Brandywine SRR786532 0.9468 BIG
Brandywine SRR786533 0.961 BIG
Brandywine SRR786534 0.9626 BIG
Brandywine SRR786535 0.9713 BIG
Brandywine SRR786536 0.9728 BIG
Brandywine SRR786537 0.9738 BIG
Brandywine SRR786538 0.9488 BIG
Brandywine SRR786539 0.9511 BIG
Brandywine SRR786540 0.9738 BIG
Brandywine SRR786541 0.9709 BIG
Brandywine SRR786542 0.98 BIG
Brandywine SRR786543 0.9244 BIG
Brandywine SRR786544 0.9176 BIG
Brandywine SRR786545 0.9688 BIG
Brandywine SRR786546 0.9758 BIG
Brandywine SRR786547 0.9742 BIG
Brandywine SRR786548 0.9731 BIG
Brandywine SRR786549 0.968 BIG
Brandywine SRR786550 0.9746 BIG
Brandywine SRR786551 0.9765 BIG
Brandywine SRR786581 0.948 BIG
Brandywine SRR786582 0.9543 BIG
Brandywine SRR786583 0.9482 BIG
Brandywine SRR786584 0.9543 BIG
Brandywine SRR786585 0.9582 BIG
Brandywine SRR786586 0.9589 BIG
Brandywine SRR786587 0.9472 BIG
Brandywine SRR786588 0.9503 BIG
Brandywine SRR786589 0.9622 BIG
Brandywine SRR786590 0.9653 BIG
Brandywine SRR786591 0.9569 BIG
Brandywine SRR786592 0.9592 BIG
Brandywine SRR786593 0.9626 BIG
Brandywine SRR786594 0.9651 BIG
Brandywine SRR786595 0.9566 BIG
Brandywine SRR786596 0.9595 BIG
TS667 SRR10435545 0.9801 BIG
TS667 SRR10435546 0.9868 BIG
TS667 SRR10435547 0.9876 BIG
TS667 SRR10435549 0.9154 BIG
TS667 SRR12560324 0.9567 BIG
TS667 SRR2064660 0.9916 BIG
TS667 SRR2064662 0.9942 BIG
TS667 SRR2064663 0.9962 BIG
TS667 SRR2064665 0.9889 BIG
TS667 SRR2064668 0.9902 BIG
TS667 SRR2064671 0.9926 BIG
TS667 SRR2356898 0.9339 BIG
TS667 SRR2356905 0.9566 BIG
TS667 SRR2356907 0.9576 BIG
TS667 SRR2356916 0.9471 BIG
TS667 SRR2356941 0.9237 BIG
TS667 SRR2356969 0.9501 BIG
TS667 SRR2939611 0.9699 BIG
TS667 SRR2939613 0.9745 BIG
TS667 SRR2939615 0.9726 BIG
TS667 SRR3031978 0.9193 BIG
TS667 SRR3119178 0.9823 BIG
TS667 SRR3119184 0.9837 BIG
TS667 SRR3119185 0.9933 BIG
TS667 SRR3119186 0.9934 BIG
TS667 SRR3119187 0.9921 BIG
TS667 SRR3119188 0.9905 BIG
TS667 SRR3119189 0.9897 BIG
TS667 SRR3119190 0.9853 BIG
TS667 SRR786507 0.9846 BIG
TS667 SRR786508 0.9839 BIG
TS667 SRR786509 0.9849 BIG
TS667 SRR786514 0.9811 BIG
TS667 SRR786515 0.9735 BIG
TS667 SRR786516 0.9763 BIG
TS667 SRR786517 0.9746 BIG
TS667 SRR786520 0.9427 BIG
TS667 SRR786521 0.9431 BIG
TS667 SRR786522 0.9562 BIG
TS667 SRR786523 0.9562 BIG
TS667 SRR786525 0.9764 BIG
TS667 SRR786526 0.9668 BIG
TS667 SRR786527 0.9738 BIG
TS667 SRR786528 0.9866 BIG
TS667 SRR786529 0.9648 BIG
TS667 SRR786530 0.9674 BIG
TS667 SRR786531 0.9548 BIG
TS667 SRR786532 0.9497 BIG
TS667 SRR786533 0.9611 BIG
TS667 SRR786534 0.9628 BIG
TS667 SRR786535 0.9713 BIG
TS667 SRR786536 0.9728 BIG
TS667 SRR786537 0.9737 BIG
TS667 SRR786538 0.9486 BIG
TS667 SRR786539 0.9509 BIG
TS667 SRR786540 0.9738 BIG
TS667 SRR786541 0.9704 BIG
TS667 SRR786542 0.9799 BIG
TS667 SRR786543 0.9317 BIG
TS667 SRR786544 0.925 BIG
TS667 SRR786545 0.9686 BIG
TS667 SRR786546 0.9757 BIG
TS667 SRR786547 0.9746 BIG
TS667 SRR786548 0.9733 BIG
TS667 SRR786549 0.9663 BIG
TS667 SRR786550 0.9732 BIG
TS667 SRR786551 0.9766 BIG
TS667 SRR786581 0.9484 BIG
TS667 SRR786582 0.9548 BIG
TS667 SRR786583 0.9486 BIG
TS667 SRR786584 0.9546 BIG
TS667 SRR786585 0.9586 BIG
TS667 SRR786586 0.9593 BIG
TS667 SRR786587 0.9476 BIG
TS667 SRR786588 0.9507 BIG
TS667 SRR786589 0.9625 BIG
TS667 SRR786590 0.9657 BIG
TS667 SRR786591 0.9572 BIG
TS667 SRR786592 0.9596 BIG
TS667 SRR786593 0.963 BIG
TS667 SRR786594 0.9657 BIG
TS667 SRR786595 0.957 BIG
TS667 SRR786596 0.9598 BIG
TS681 SRR10435545 0.9797 BIG
TS681 SRR10435546 0.9864 BIG
TS681 SRR10435547 0.9875 BIG
TS681 SRR10435549 0.9144 BIG
TS681 SRR12560324 0.9535 BIG
TS681 SRR2064660 0.9918 BIG
TS681 SRR2064662 0.9957 BIG
TS681 SRR2064663 0.9957 BIG
TS681 SRR2064665 0.9897 BIG
TS681 SRR2064668 0.991 BIG
TS681 SRR2064671 0.9934 BIG
TS681 SRR2356898 0.9301 BIG
TS681 SRR2356905 0.9558 BIG
TS681 SRR2356907 0.9566 BIG
TS681 SRR2356916 0.9464 BIG
TS681 SRR2356941 0.9211 BIG
TS681 SRR2356969 0.9488 BIG
TS681 SRR2939611 0.9683 BIG
TS681 SRR2939613 0.9733 BIG
TS681 SRR2939615 0.9709 BIG
TS681 SRR3031978 0.9191 BIG
TS681 SRR3119178 0.983 BIG
TS681 SRR3119184 0.9847 BIG
TS681 SRR3119185 0.9928 BIG
TS681 SRR3119186 0.993 BIG
TS681 SRR3119187 0.9924 BIG
TS681 SRR3119188 0.992 BIG
TS681 SRR3119189 0.9918 BIG
TS681 SRR3119190 0.9873 BIG
TS681 SRR786507 0.9839 BIG
TS681 SRR786508 0.984 BIG
TS681 SRR786509 0.9843 BIG
TS681 SRR786514 0.9811 BIG
TS681 SRR786515 0.9735 BIG
TS681 SRR786516 0.9763 BIG
TS681 SRR786517 0.9747 BIG
TS681 SRR786520 0.9418 BIG
TS681 SRR786521 0.9422 BIG
TS681 SRR786522 0.9558 BIG
TS681 SRR786523 0.9559 BIG
TS681 SRR786525 0.9768 BIG
TS681 SRR786526 0.9663 BIG
TS681 SRR786527 0.9734 BIG
TS681 SRR786528 0.9858 BIG
TS681 SRR786529 0.9646 BIG
TS681 SRR786530 0.9672 BIG
TS681 SRR786531 0.9553 BIG
TS681 SRR786532 0.9499 BIG
TS681 SRR786533 0.9605 BIG
TS681 SRR786534 0.9622 BIG
TS681 SRR786535 0.9708 BIG
TS681 SRR786536 0.9724 BIG
TS681 SRR786537 0.9727 BIG
TS681 SRR786538 0.9477 BIG
TS681 SRR786539 0.9501 BIG
TS681 SRR786540 0.9734 BIG
TS681 SRR786541 0.9703 BIG
TS681 SRR786542 0.979 BIG
TS681 SRR786543 0.932 BIG
TS681 SRR786544 0.9251 BIG
TS681 SRR786545 0.9682 BIG
TS681 SRR786546 0.9753 BIG
TS681 SRR786547 0.9741 BIG
TS681 SRR786548 0.9727 BIG
TS681 SRR786549 0.9678 BIG
TS681 SRR786550 0.9744 BIG
TS681 SRR786551 0.9759 BIG
TS681 SRR786581 0.948 BIG
TS681 SRR786582 0.9544 BIG
TS681 SRR786583 0.9483 BIG
TS681 SRR786584 0.9543 BIG
TS681 SRR786585 0.9581 BIG
TS681 SRR786586 0.9589 BIG
TS681 SRR786587 0.9473 BIG
TS681 SRR786588 0.9506 BIG
TS681 SRR786589 0.9621 BIG
TS681 SRR786590 0.9653 BIG
TS681 SRR786591 0.9569 BIG
TS681 SRR786592 0.9592 BIG
TS681 SRR786593 0.9625 BIG
TS681 SRR786594 0.9651 BIG
TS681 SRR786595 0.9565 BIG
TS681 SRR786596 0.9594 BIG
Fla8924 SRR10435545 0.9799 BIG
Fla8924 SRR10435546 0.9866 BIG
Fla8924 SRR10435547 0.9876 BIG
Fla8924 SRR10435549 0.9155 BIG
Fla8924 SRR12560324 0.9569 BIG
Fla8924 SRR2064660 0.9926 BIG
Fla8924 SRR2064662 0.9959 BIG
Fla8924 SRR2064663 0.9965 BIG
Fla8924 SRR2064665 0.9902 BIG
Fla8924 SRR2064668 0.9916 BIG
Fla8924 SRR2064671 0.9943 BIG
Fla8924 SRR2356898 0.9345 BIG
Fla8924 SRR2356905 0.959 BIG
Fla8924 SRR2356907 0.9584 BIG
Fla8924 SRR2356916 0.9487 BIG
Fla8924 SRR2356941 0.9243 BIG
Fla8924 SRR2356969 0.952 BIG
Fla8924 SRR2939611 0.9696 BIG
Fla8924 SRR2939613 0.9742 BIG
Fla8924 SRR2939615 0.9723 BIG
Fla8924 SRR3031978 0.9192 BIG
Fla8924 SRR3119178 0.9847 BIG
Fla8924 SRR3119184 0.9861 BIG
Fla8924 SRR3119185 0.9935 BIG
Fla8924 SRR3119186 0.9939 BIG
Fla8924 SRR3119187 0.9944 BIG
Fla8924 SRR3119188 0.9936 BIG
Fla8924 SRR3119189 0.993 BIG
Fla8924 SRR3119190 0.9887 BIG
Fla8924 SRR786507 0.9848 BIG
Fla8924 SRR786508 0.9851 BIG
Fla8924 SRR786509 0.9853 BIG
Fla8924 SRR786514 0.9812 BIG
Fla8924 SRR786515 0.9735 BIG
Fla8924 SRR786516 0.9763 BIG
Fla8924 SRR786517 0.9747 BIG
Fla8924 SRR786520 0.943 BIG
Fla8924 SRR786521 0.9434 BIG
Fla8924 SRR786522 0.9565 BIG
Fla8924 SRR786523 0.9566 BIG
Fla8924 SRR786525 0.9773 BIG
Fla8924 SRR786526 0.9665 BIG
Fla8924 SRR786527 0.9735 BIG
Fla8924 SRR786528 0.9865 BIG
Fla8924 SRR786529 0.9652 BIG
Fla8924 SRR786530 0.9677 BIG
Fla8924 SRR786531 0.9559 BIG
Fla8924 SRR786532 0.9509 BIG
Fla8924 SRR786533 0.9614 BIG
Fla8924 SRR786534 0.9629 BIG
Fla8924 SRR786535 0.9715 BIG
Fla8924 SRR786536 0.9729 BIG
Fla8924 SRR786537 0.9739 BIG
Fla8924 SRR786538 0.9485 BIG
Fla8924 SRR786539 0.9507 BIG
Fla8924 SRR786540 0.9742 BIG
Fla8924 SRR786541 0.9712 BIG
Fla8924 SRR786542 0.9802 BIG
Fla8924 SRR786543 0.9319 BIG
Fla8924 SRR786544 0.9252 BIG
Fla8924 SRR786545 0.9689 BIG
Fla8924 SRR786546 0.976 BIG
Fla8924 SRR786547 0.9749 BIG
Fla8924 SRR786548 0.9736 BIG
Fla8924 SRR786549 0.9683 BIG
Fla8924 SRR786550 0.9748 BIG
Fla8924 SRR786551 0.9768 BIG
Fla8924 SRR786581 0.9485 BIG
Fla8924 SRR786582 0.9549 BIG
Fla8924 SRR786583 0.9487 BIG
Fla8924 SRR786584 0.9547 BIG
Fla8924 SRR786585 0.9587 BIG
Fla8924 SRR786586 0.9593 BIG
Fla8924 SRR786587 0.9477 BIG
Fla8924 SRR786588 0.9509 BIG
Fla8924 SRR786589 0.9627 BIG
Fla8924 SRR786590 0.9658 BIG
Fla8924 SRR786591 0.9572 BIG
Fla8924 SRR786592 0.9596 BIG
Fla8924 SRR786593 0.9631 BIG
Fla8924 SRR786594 0.9657 BIG
Fla8924 SRR786595 0.9569 BIG
Fla8924 SRR786596 0.9599 BIG
TS212 SRR10435545 0.9802 BIG
TS212 SRR10435546 0.9868 BIG
TS212 SRR10435547 0.988 BIG
TS212 SRR10435549 0.9156 BIG
TS212 SRR12560324 0.9567 BIG
TS212 SRR2064660 0.9923 BIG
TS212 SRR2064662 0.9968 BIG
TS212 SRR2064663 0.9974 BIG
TS212 SRR2064665 0.9903 BIG
TS212 SRR2064668 0.9908 BIG
TS212 SRR2064671 0.9944 BIG
TS212 SRR2356898 0.9346 BIG
TS212 SRR2356905 0.9601 BIG
TS212 SRR2356907 0.9595 BIG
TS212 SRR2356916 0.9488 BIG
TS212 SRR2356941 0.9244 BIG
TS212 SRR2356969 0.9518 BIG
TS212 SRR2939611 0.9698 BIG
TS212 SRR2939613 0.9745 BIG
TS212 SRR2939615 0.9726 BIG
TS212 SRR3031978 0.9191 BIG
TS212 SRR3119178 0.9849 BIG
TS212 SRR3119184 0.9863 BIG
TS212 SRR3119185 0.9933 BIG
TS212 SRR3119186 0.9933 BIG
