QTN	h2_simulated	kinship_used	phenotype_simulated	h2_estimated	rep
10	0.3	snps	snps	0.47072416169104	80
10	0.3	snps	snps	0.256565397903956	81
10	0.3	snps	snps	0.333483311798382	82
10	0.3	snps	snps	0.414717257727457	83
10	0.3	snps	snps	0.188792117710469	84
10	0.3	snps	snps	0.229662345757166	85
10	0.3	snps	snps	0.269115871551515	86
10	0.3	snps	snps	0.296412983445667	87
10	0.3	snps	snps	0.283994325763678	88
10	0.3	snps	snps	0.479581271833457	89
10	0.3	snps	snps	0.353121674891823	90
10	0.3	snps	snps	0.327581959540021	91
10	0.3	snps	snps	0.308884244258219	92
10	0.3	snps	snps	0.421279038418109	93
10	0.3	snps	snps	0.314352469761511	94
10	0.3	snps	snps	0.125606891151135	95
10	0.3	snps	snps	0.217896828390058	96
10	0.3	snps	snps	0.189119576180613	97
10	0.3	snps	snps	0.437115671047672	98
10	0.3	snps	snps	0.359985912977917	99
10	0.3	snps	snps	0.165499881149991	100
10	0.45	snps	snps	0.341375535344786	1
10	0.45	snps	snps	0.371135402527794	2
10	0.45	snps	snps	0.562629920961079	3
10	0.45	snps	snps	0.490382316078601	4
10	0.45	snps	snps	0.436769080179041	5
10	0.45	snps	snps	0.53962135972713	6
10	0.45	snps	snps	0.503043388246429	7
10	0.45	snps	snps	0.28786745035015	8
10	0.45	snps	snps	0.460707772179921	9
